customer_id,name,gender,age,phone,email,city,joined_at,skin_type,pc_user_type,foot_type
C0001,김지아,F,37,010-8217-5677,jia_kim@hanmail.net,인천,2023-01-07,복합성,사무직,발볼넓음
C0002,박현우,M,21,010-7776-4464,hyunwoo6@naver.com,경기,2024-05-08,민감성,디자이너,칼발
C0003,박서윤,F,33,010-5187-5016,park.seoyun@daum.net,여수,2025-08-04,건성,사무직,평발
C0004,장지혜,F,60,016-879-8920,jihye64@naver.com,수원,2023-07-15,복합성,사무직,발볼넓음
C0005,윤지윤,F,35,010-6622-0555,yoonjiyun@naver.com,세종,2025-12-16,복합성,FPS유저,칼발
C0006,박하윤,F,27,010-5564-4895,park.hayun@gmail.com,부산,2025-01-24,복합성,사무직,발볼넓음
C0007,김영은,F,36,010-8767-6483,kimyoungeun@naver.com,수원,2023-07-13,복합성,디자이너,평발
C0008,이소율,F,47,010-9332-8053,leesoyul@kakao.com,고양,2024-01-25,복합성,디자이너,칼발
C0009,이주원,M,23,010-1076-0865,juwon_lee@gmail.com,경기,2023-04-25,건성,FPS유저,평발
C0010,이보라,F,27,010-8926-3672,lee.bora@gmail.com,서울,2025-04-04,복합성,사무직,평발
C0011,김경희,F,19,010-5880-0740,kyunghee81@naver.com,인천,2025-04-04,민감성,사무직,발볼넓음
C0012,장지아,F,50,010-9214-5751,jia6@kakao.com,대전,2022-11-25,복합성,FPS유저,칼발
C0013,홍소희,F,37,010-9348-5813,sohee31@gmail.com,서울,2025-11-14,복합성,FPS유저,칼발
C0014,오경희,F,66,010-1892-5630,ohkyunghee@gmail.com,서울,2025-07-10,건성,사무직,발볼넓음
C0015,김성민,M,27,010-8604-5423,sungmin94@daum.net,서울,2026-02-15,지성,FPS유저,칼발
C0016,유하린,F,33,010-1304-6791,harinyoo@naver.com,여수,2023-05-28,복합성,사무직,발볼넓음
C0017,최선우,M,30,010-9358-7043,choi.sunwoo@naver.com,경기,2026-03-16,민감성,사무직,평발
C0018,강소희,F,39,010-2282-9081,soheekang@kakao.com,경기,2026-01-03,지성,디자이너,발볼넓음
C0019,이선영,F,53,010-9801-0939,leesunyoung@daum.net,제주,2024-06-04,민감성,FPS유저,평발
C0020,양현주,F,42,010-8779-9046,yang.hyunjoo@daum.net,인천,2025-09-07,지성,FPS유저,발볼넓음
C0021,허나윤,F,32,010-5578-2860,nayun_heo@naver.com,인천,2025-08-06,민감성,사무직,칼발
C0022,김서연,F,34,010-7568-4874,seoyeon19@gmail.com,경기,2025-09-06,건성,사무직,칼발
C0023,정종민,M,22,010-1605-5825,jungjongmin@gmail.com,부산,2023-10-07,지성,사무직,평발
C0024,정영은,F,22,010-1411-5618,jung.youngeun@daum.net,경기,2025-08-23,민감성,FPS유저,평발
C0025,오성호,M,37,010-9074-4320,sunghooh@naver.com,경기,2023-09-07,건성,디자이너,발볼넓음
C0026,김유진,F,35,017-342-9697,yujin_kim@naver.com,서울,2025-06-13,건성,사무직,평발
C0027,장미나,F,64,010-2245-9802,mina61@gmail.com,경기,2025-10-17,지성,FPS유저,칼발
C0028,김지민,F,55,010-6248-3580,jimin93@naver.com,부산,2025-10-11,건성,사무직,칼발
C0029,전정민,F,31,010-7660-5799,jungmin24@daum.net,부산,2023-11-20,건성,사무직,발볼넓음
C0030,박지민,F,41,010-4706-1738,jimin31@naver.com,경기,2024-08-20,민감성,FPS유저,평발
C0031,장지윤,F,22,010-2047-6753,jangjiyun@naver.com,서울,2026-03-26,복합성,FPS유저,발볼넓음
C0032,박준우,M,39,010-3115-1545,parkjunwoo@naver.com,제주,2023-02-18,지성,사무직,평발
C0033,김도윤,M,46,010-4591-8459,doyun11@outlook.com,서울,2024-12-30,건성,사무직,발볼넓음
C0034,최선영,F,37,010-5313-8872,choi.sunyoung@naver.com,서울,2024-09-25,민감성,FPS유저,발볼넓음
C0035,이지혜,F,43,010-4136-0109,leejihye@gmail.com,인천,2025-01-17,민감성,사무직,칼발
C0036,임서아,F,41,010-5114-9963,seoa_lim@kakao.com,성남,2026-01-09,복합성,사무직,발볼넓음
C0037,이소희,F,42,010-2561-3291,leesohee@nate.com,제주,2024-08-09,민감성,FPS유저,발볼넓음
C0038,강성호,M,40,010-1477-0570,kang.sungho@nate.com,서울,2025-03-15,복합성,사무직,평발
C0039,이채원,F,30,010-6309-3338,lee.chaewon@gmail.com,인천,2025-01-11,지성,디자이너,발볼넓음
C0040,김예은,F,25,010-4525-8505,yeeun65@gmail.com,경기,2025-10-03,지성,FPS유저,평발
C0041,정민서,F,26,010-5176-0346,jungminseo@gmail.com,경기,2023-06-28,건성,사무직,칼발
C0042,김준우,M,24,010-1627-4365,junwoo_kim@gmail.com,서울,2025-08-05,민감성,FPS유저,평발
C0043,김수정,F,32,010-7580-7783,sujeong2@gmail.com,인천,2024-04-18,지성,FPS유저,칼발
C0044,전지윤,F,47,010-4857-6683,jiyunjeon@gmail.com,광주,2023-01-01,복합성,사무직,발볼넓음
C0045,송지호,M,36,010-3154-7541,song.jiho@naver.com,부산,2025-11-20,복합성,사무직,평발
C0046,최수빈,F,33,010-3628-6652,subin_choi@naver.com,대전,2023-05-12,지성,사무직,평발
C0047,전혜진,F,33,010-2339-3632,jeonhyejin@naver.com,서울,2023-11-21,민감성,디자이너,칼발
C0048,오보라,F,41,010-2273-3341,bora25@naver.com,경기,2026-02-11,복합성,디자이너,평발
C0049,박선우,M,67,010-5797-8253,park.sunwoo@gmail.com,서울,2025-01-05,건성,사무직,평발
C0050,이유진,F,39,010-7951-2570,yujin66@gmail.com,경기,2025-05-31,건성,사무직,평발
C0051,장가은,F,27,010-6568-6198,janggaeun@nate.com,서울,2025-02-04,지성,디자이너,발볼넓음
C0052,송하린,F,47,010-2989-1472,song.harin@naver.com,인천,2024-09-28,복합성,사무직,발볼넓음
C0053,김동현,M,21,010-7691-3733,donghyunkim@gmail.com,서울,2023-10-10,지성,사무직,발볼넓음
C0054,김하준,M,26,010-2758-1125,kimhajun@gmail.com,경기,2025-04-08,건성,사무직,칼발
C0055,김우진,M,46,010-3611-3733,woojinkim@kakao.com,인천,2024-03-20,건성,사무직,평발
C0056,권영은,F,18,010-5010-6393,youngeun20@hanmail.net,경기,2025-06-18,복합성,디자이너,평발
C0057,박연준,M,31,010-7322-7497,park.yeonjun@gmail.com,경기,2025-04-05,지성,FPS유저,발볼넓음
C0058,오현주,F,37,010-5317-3034,ohhyunjoo@naver.com,울산,2026-02-11,복합성,사무직,칼발
C0059,김윤서,F,51,010-9037-3309,yunseo_kim@naver.com,서울,2024-05-10,민감성,사무직,평발
