customer_id,name,phone,email,optional_consent,gender,member_status,joined_at
C0001,김우미,010-7861-5868,user1247@naver.com,agree,f,active,2026-04-20
C0002,이민환,010-4317-1745,user2304@naver.com,agree,f,active,2026-01-28
C0003,김도경,010-2046-8817,user3633@naver.com,agree,m,active,2023-11-07
C0004,조현훈,010-5627-2847,user4557@naver.com,agree,m,inactive,2023-05-07
C0005,홍민연,010-8554-9199,user575@naver.com,agree,f,active,2024-11-08
C0006,서현연,010-8127-2413,user6853@naver.com,agree,m,inactive,2025-02-12
C0007,이연연,010-5392-7825,user7263@gmail.com,agree,f,active,2025-06-29
C0008,임은빈,010-2652-6732,user8185@naver.com,agree,m,inactive,2024-06-04
C0009,안민연,010-5974-8265,user9477@naver.com,agree,f,deleted,2026-07-10
C0010,이원경,010-4727-2765,user10126@gmail.com,agree,f,inactive,2025-08-18
C0011,김수우,010-1980-9085,user1150@naver.com,agree,f,inactive,2023-09-09
C0012,정원미,010-7391-1687,user12817@naver.com,agree,m,inactive,2026-01-16
C0013,이하영,010-5799-4618,user13406@naver.com,agree,f,active,2025-05-11
C0014,김연영,010-2279-4360,user14637@hanmail.net,agree,f,active,2024-09-07
C0015,신연훈,010-5227-3459,user15733@gmail.com,agree,f,active,2026-04-20
C0016,강은우,010-5954-3108,user1632@naver.com,agree,m,active,2024-05-05
C0017,이현훈,010-2106-3319,user17946@daum.net,disagree,f,deleted,2025-08-13
C0018,김연우,010-9117-2985,user18239@naver.com,agree,m,active,2024-02-03
C0019,박현훈,010-5201-6458,user19510@daum.net,agree,f,inactive,2026-02-02
C0020,윤하미,010-6005-8244,user20604@gmail.com,agree,f,active,2026-07-27
C0021,서재주,010-5721-2212,user21996@naver.com,agree,f,active,2023-10-07
C0022,윤연영,010-1544-2240,user22264@gmail.com,disagree,f,active,2026-07-11
C0023,홍은연,010-3012-2041,user23616@naver.com,disagree,f,active,2025-12-21
C0024,김하미,010-2343-7019,user24915@naver.com,agree,m,active,2025-11-17
C0025,최도환,010-8515-6648,user25548@kakao.com,agree,f,active,2025-10-18
C0026,이은진,010-6364-9047,user26921@kakao.com,agree,m,active,2023-02-12
C0027,김연주,010-2992-6939,user2787@gmail.com,agree,f,active,2026-06-07
C0028,박수환,010-6760-5868,user2888@naver.com,agree,f,deleted,2025-06-24
C0029,김현훈,010-4254-7114,user29827@gmail.com,disagree,f,deleted,2026-01-17
C0030,오우빈,010-9549-9766,user30689@naver.com,agree,f,active,2025-07-22
C0031,조준영,010-7782-2980,user31450@gmail.com,agree,m,active,2026-06-29
C0032,김지환,010-8974-7540,user32531@daum.net,agree,m,active,2025-07-22
C0033,김지연,010-9922-3585,user33670@gmail.com,disagree,f,active,2026-03-16
C0034,한도연,010-5382-5624,user34110@gmail.com,agree,f,active,2023-12-15
C0035,서수빈,010-2073-2615,user35201@naver.com,agree,m,active,2024-06-06
C0036,조현훈,010-6258-7536,user36639@hanmail.net,agree,f,inactive,2025-01-04
C0037,윤아미,010-8202-8066,user37972@naver.com,agree,f,active,2024-08-13
C0038,윤아미,010-6184-2384,user38743@gmail.com,agree,m,active,2025-03-08
C0039,송수서,010-4019-7715,user39531@daum.net,agree,f,active,2023-12-20
C0040,오수아,010-8295-6030,user40798@kakao.com,disagree,m,active,2025-08-14
C0041,이아연,010-2753-9335,user41196@kakao.com,agree,f,active,2024-09-06
C0042,김연아,010-3670-2150,user42707@naver.com,agree,m,inactive,2024-10-10
C0043,임지아,010-1431-4012,user43899@gmail.com,agree,f,inactive,2025-10-24
C0044,오재아,010-6290-9458,user44112@naver.com,disagree,f,active,2024-02-04
C0045,장원서,010-5934-5157,user45107@gmail.com,agree,f,inactive,2025-05-15
C0046,윤은환,010-3206-2596,user46119@gmail.com,agree,f,active,2026-08-05
C0047,이하환,010-9560-7323,user47180@daum.net,agree,f,inactive,2024-11-18
C0048,김우연,010-4391-5477,user48287@naver.com,agree,m,inactive,2025-04-13
C0049,김지경,010-5468-1208,user49683@gmail.com,agree,m,inactive,2024-10-05
C0050,황도훈,010-6516-2596,user50830@kakao.com,agree,f,active,2023-12-03
C0051,조하서,010-9100-3914,user51172@naver.com,disagree,f,deleted,2023-10-15
C0052,김재빈,010-7124-5928,user52461@naver.com,agree,m,inactive,2024-12-12
C0053,김민연,010-3834-7061,user53225@naver.com,agree,m,active,2024-09-12
C0054,김민진,010-2510-2796,user54464@daum.net,agree,f,inactive,2026-06-21
C0055,한지주,010-2121-1434,user55640@daum.net,agree,f,active,2026-07-01
C0056,장민연,010-2590-3700,user56408@kakao.com,agree,m,inactive,2025-04-22
C0057,송도진,010-7482-9779,user5722@kakao.com,agree,f,active,2025-07-31
C0058,권도연,010-3641-6238,user58840@kakao.com,agree,f,active,2025-02-14
